Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_035044485.1	ASM3504448v1			Scaptomyza reducta
GCA_035044465.1	ASM3504446v1			Scaptomyza tumidula
GCA_022816985.1	ASM2281698v1			Scelio sp. ZL-2020
GCA_022817025.1	ASM2281702v1			Sceliomorpha sp. ZL-2020
GCA_022817745.1	ASM2281774v1			Scelioninae gen. 1 sp. ZL-2020
GCA_022817585.1	ASM2281758v1			Scelioninae gen. 2 sp. ZL-2020
GCA_913698155.1	Slati1			Sceptobius lativentris
GCF_021461395.2	iqSchAmer2.1	NCBI Schistocerca americana Annotation Release 100	2022-03-03	Schistocerca americana
GCF_023864275.1	iqSchCanc2.1	NCBI Schistocerca cancellata Annotation Release 100	2022-07-13	Schistocerca cancellata
GCF_023897955.1	iqSchGreg1.2	NCBI Schistocerca gregaria Annotation Release 100	2022-08-05	Schistocerca gregaria
GCF_023898315.1	iqSchNite1.1	NCBI Schistocerca nitens Annotation Release 100	2022-07-11	Schistocerca nitens
GCF_021461385.2	iqSchPice1.1	NCBI Schistocerca piceifrons Annotation Release 100	2022-03-24	Schistocerca piceifrons
GCF_023864345.2	iqSchSeri2.2	NCBI Schistocerca serialis cubense Annotation Release 100	2022-08-04	Schistocerca serialis cubense
GCA_020882235.1	ASM2088223v1			Schizaphis graminum
GCA_951805265.1	icSchPect1.1			Schizotus pectinicornis
GCA_019022885.1	Schi1.0			Schlechtendalia chinensis
GCA_963935595.1	ilSchGiga1.1			Schoenobius gigantellus
GCA_905475405.1	ilSchCost1.1			Schrankia costaestrigalis
GCA_036419045.1	ASM3641904v1			Scirpophaga incertulas
GCA_037305995.1	ZJU_Salt_1.0			Sclerodermus sp. 'alternatusi'
GCA_963921215.1	ilScoAmbi1.1			Scoparia ambigualis
GCA_949320045.1	ilScoBipu1.1			Scotopteryx bipunctaria
GCA_029255725.1	ASM2925572v1			Scrobipalpa atriplicella
GCA_949820665.1	ilScrCost1.1			Scrobipalpa costella
GCA_913789895.3	iySelTumu1.3			Seladonia tumulorum
GCA_917880725.1	ilSelDent1.1			Selenia dentaria
GCA_030264515.1	Caltech_Sep_1.0			Sepedophilus sp. GC000190
GCA_029286605.1	kiz_Smo_v1			Sericinus montela
GCA_913698145.1	Ssp4			Sericostoma sp. HW-2014
GCA_039766575.1	ASM3976657v1			Serrognathus titanus
GCA_037179545.1	ASM3717954v1			Sesamia inferens
GCA_017933935.1	SNONA2			Sesamia nonagrioides
GCA_914767545.1	ilSesApif2.1			Sesia apiformis
GCA_943735995.1	ilSesBemb1.1			Sesia bembeciformis
GCA_947562105.1	ilShaVerb5.1			Shargacucullia verbasci
GCA_961205875.1	ikSiaFuli1.1			Sialis fuliginosa
GCA_949319165.1	ikSiaLuta1.1			Sialis lutaria
GCA_922984085.1	idSicFerr1.1			Sicus ferrugineus
GCA_018250915.1	SRR7174476			Signeta flammeata
GCA_963930825.1	icSilUnid1.1			Silvanus unidentatus
GCA_026537445.1	ASM2653744v1			Silvatares holzenthali
GCA_036346155.1	kiz_Spe_v1			Sinelater perroti
GCF_003268045.1	YSA_version1	NCBI Sipha flava Annotation Release 100	2018-07-05	Sipha flava
GCA_034509805.1	ASM3450980v1			Sipha maydis
GCA_949825025.1	ieSipAlte2.1			Siphlonurus alternatus
GCA_958496155.1	inSisNigr1.1			Sisyra nigra
GCA_958496175.1	inSisTerm1.1			Sisyra terminalis
GCA_019425605.1	ASM1942560v1			Sitobion avenae
GCA_008086715.1	ASM808671v1			Sitobion miscanthi
GCF_009176505.1	AAFC_SMos_1.0	GCF_009176505.1-RS_2023_04	2023-04-18	Sitodiplosis mosellana
GCF_002938485.1	Soryzae_2.0	NCBI Sitophilus oryzae Annotation Release 100	2019-09-18	Sitophilus oryzae
GCA_032441835.1	ASM3244183v1			Slavum lentiscoides
GCA_033063855.1	ASM3306385v1			Smittia aterrima
GCA_033064975.1	ASM3306497v1			Smittia sp. YW1114-2
GCA_017141385.1	ASM1714138v1			Sogatella furcifera
GCA_003595255.1	Sf_gnA			Solenopsis fugax
GCF_016802725.1	UNIL_Sinv_3.0	NCBI Solenopsis invicta Annotation Release 104	2021-02-09	Solenopsis invicta
