Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_963573785.1	PGDP_LepAnk			Lepilemur ankaranensis
GCA_963574875.1	PGDP_LepDor			Lepilemur dorsalis
GCA_963574885.1	PGDP_LepRuf			Lepilemur ruficaudatus
GCA_963573855.1	PGDP_LepSep			Lepilemur septentrionalis
GCF_000349705.1	LepWed1.0	NCBI Leptonychotes weddellii Annotation Release 101	2019-09-26	Leptonychotes weddellii
GCA_004026855.1	LepAme_v1_BIUU			Lepus americanus
GCF_033115175.1	mLepTim1.pri	GCF_033115175.1-RS_2024_01	2024-01-05	Lepus europaeus
GCA_036325905.1	CXZ			Lepus oiostolus
GCA_009760805.1	CIBIO-ISEM_LeTim_1.1			Lepus timidus
GCA_029532125.1	Ltowsendii_DMNS18807_Prim_1.0			Lepus townsendii
GCF_000442215.2	Lipotes_vexillifer_v1.1	NCBI Lipotes vexillifer Annotation Release 100	2021-06-07	Lipotes vexillifer
GCA_006410535.1	GRK			Litocranius walleri
GCF_010015895.1	GSC_riverotter_1.0	NCBI Lontra canadensis Annotation Release 100	2020-03-10	Lontra canadensis
GCA_907164525.1	mLopImh1.curated_primary_1811			Lophiomys imhausi
GCA_023783235.1	ASM2378323v1			Lophocebus aterrimus
GCA_963574355.1	PGDP_LorLyd			Loris lydekkerianus
GCA_023783135.1	ASM2378313v1			Loris tardigradus
GCF_030014295.1	mLoxAfr1.hap2	GCF_030014295.1-RS_2024_04	2024-04-02	Loxodonta africana
GCF_902655055.1	mLutLut1.2	GCF_902655055.1-RS_2023_03	2023-03-03	Lutra lutra
GCA_004216515.1	sis1-161031-pseudohap			Lycaon pictus
GCF_007474595.2	mLynCan4.pri.v2	NCBI Lynx canadensis Annotation Release 102	2020-08-31	Lynx canadensis
GCA_900661375.1	LYPA1.0	Annotation submitted by CNAG	2019-03-28	Lynx pardinus
GCF_022079265.1	mLynRuf1.p	GCF_022079265.1-RS_2023_03	2023-03-03	Lynx rufus
GCA_021188215.1	Marc_1.0			Macaca arctoides
GCA_023783095.1	ASM2378309v1			Macaca assamensis
GCA_026956025.1	MCyc01			Macaca cyclopis
GCF_037993035.1	T2T-MFA8v1.0	GCF_037993035.1-RS_2024_05	2024-05-24	Macaca fascicularis
GCA_003118495.1	macFus_1.0			Macaca fuscata fuscata
GCA_963573825.1	PGDP_MacLeo			Macaca leonina
GCA_963574855.1	PGDP_MacMau			Macaca maura
GCF_003339765.1	Mmul_10	NCBI Macaca mulatta Annotation Release 103	2019-03-24	Macaca mulatta
GCF_000956065.1	Mnem_1.0	NCBI Macaca nemestrina Annotation Release 101	2018-04-12	Macaca nemestrina
GCA_928851695.1	mMacNir1.1			Macaca nigra
GCA_963573735.1	PGDP_MacRad			Macaca radiata
GCA_963574275.1	PGDP_MacSib			Macaca siberu
GCA_023807365.1	ASM2380736v1			Macaca silenus
GCF_024542745.1	ASM2454274v1	GCF_024542745.1-RS_2023_02	2023-02-26	Macaca thibetana thibetana
GCA_963573625.1	PGDP_MacTon			Macaca tonkeana
GCA_004027375.1	MacSob_v1_BIUU			Macroglossus sobrinus
GCA_028583105.1	mf-2k			Macropus fuliginosus
GCA_028627215.1	mg-2k			Macropus giganteus
GCA_037893015.1	bilby.v1.9.chrom.fasta			Macrotis lagotis
GCA_007922815.1	MacCal_v1_BIUU			Macrotus californicus
GCA_006408675.1	KDD			Madoqua kirkii
GCF_000951045.1	Mleu.le_1.0	NCBI Mandrillus leucophaeus Annotation Release 100	2015-03-26	Mandrillus leucophaeus
GCA_023783085.1	ASM2378308v1			Mandrillus sphinx
GCA_016801295.1	DSBC_Mcra_1.0			Manis crassicaudata
GCA_032206105.1	ASM3220610v1			Manis culionensis
GCF_014570535.1	YNU_ManJav_2.0	NCBI Manis javanica Annotation Release 101	2020-10-01	Manis javanica
GCF_030020395.1	mManPen7.hap1	GCF_030020395.1-RS_2023_06	2023-06-15	Manis pentadactyla
GCF_003676075.3	GSC_YBM_2.1	NCBI Marmota flaviventris Annotation Release 101	2020-05-21	Marmota flaviventris
GCA_005280165.1	ASM528016v1			Marmota himalayana
GCF_001458135.2	marMar	NCBI Marmota marmota marmota Annotation Release 101	2022-06-02	Marmota marmota marmota
GCF_021218885.2	Marmota_monax_Labrador192_F-V1.1	GCF_021218885.2-RS_2023_07	2023-07-26	Marmota monax
GCA_040207195.1	mMarVan1_a1.0			Marmota vancouverensis
GCA_029410595.1	ASM2941059v1			Martes flavigula
GCA_963455335.1	mMarMar1.1			Martes martes
GCA_012583365.1	ASM1258336v1			Martes zibellina
GCF_008632895.1	UCSF_Mcou_1	NCBI Mastomys coucha Annotation Release 100	2019-10-18	Mastomys coucha
GCA_021653895.1	UFL_Mnatal_1.0			Mastomys natalensis
GCA_004026885.1	MegLyr_v1_BIUU			Megaderma lyra
GCA_004329385.1	megNov1			Megaptera novaeangliae
GCF_922984935.1	mMelMel3.1 paternal haplotype	NCBI Meles meles Annotation Release 100	2022-01-18	Meles meles
GCA_922984935.2	mMelMel3.2 paternal haplotype			Meles meles
GCA_004024625.1	MelCap_v1_BIUU			Mellivora capensis
GCA_036365155.1	Mmer_1.1			Meriones psammophilus
GCF_030254825.1	Bangor_MerUng_6.1	GCF_030254825.1-RS_2023_10	2023-10-23	Meriones unguiculatus
GCF_017639785.1	BCM_Maur_2.0	NCBI Mesocricetus auratus Annotation Release 103	2021-04-06	Mesocricetus auratus
GCA_964148845.1	mMesBid2.hap2.1			Mesoplodon bidens
GCF_025265405.1	mMesDen1 primary haplotype	GCF_025265405.1-RS_2023_10	2023-10-03	Mesoplodon densirostris
GCA_963573565.1	PGDP_MicSch			Mico argentatus
GCA_963574605.1	PGDP_MicHum			Mico humeralifer
GCA_963574545.1	PGDP_CalHum			Mico humilis
GCA_008750995.1	Mgri_1.0			Microcebus griseorufus
GCA_008750955.1	Mmit_1.0			Microcebus mittermeieri
GCF_000165445.2	Mmur_3.0	NCBI Microcebus murinus Annotation Release 101	2017-02-15	Microcebus murinus
GCA_008750975.1	Mrav_1.0			Microcebus ravelobensis
GCA_008750915.1	Mjon_1.0			Microcebus sp. 3 GT-2019
GCA_008750935.1	Mtav_1.0			Microcebus tavaratra
GCA_963924665.1	mMicMin1.1			Micromys minutus
GCA_004026765.1	MicHir_v1_BIUU			Micronycteris hirsuta
GCA_902806775.1	Field_vole_promethion_pilon			Microtus agrestis
GCA_963919715.1	Marv_v2			Microtus arvalis
GCA_028537955.1	mMicCal1.0.hap1			Microtus californicus
GCF_014885135.2	M_Fortis_MF-2015_v1.1	GCF_014885135.2-RS_2023_02	2023-02-26	Microtus fortis
GCA_020392405.1	ASM2039240v1			Microtus montanus
GCF_000317375.1	MicOch1.0	NCBI Microtus ochrogaster Annotation Release 102	2018-10-12	Microtus ochrogaster
GCF_018167655.1	Mior012	NCBI Microtus oregoni Annotation Release 100	2021-05-12	Microtus oregoni
GCA_037038515.1	mMicPen1.hap1			Microtus pennsylvanicus
GCA_019206885.2	ASM1920688v2			Microtus richardsoni
GCF_001595765.1	Mnat.v1	NCBI Miniopterus natalensis Annotation Release 100	2016-04-08	Miniopterus natalensis
GCA_964146895.1	mMinSch1.hap1.1			Miniopterus schreibersii
GCA_963573445.1	PGDP_MioOgo			Miopithecus ogouensis
GCA_028551445.1	Miopithecus_talapoin_HiC			Miopithecus talapoin
GCF_029215605.1	mMirAng1.0.hap1	GCF_029215605.1-RS_2024_04	2024-04-19	Mirounga angustirostris
