Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_032357275.1	ASM3235727v1			Micropsitta pusio
GCA_032274085.1	ASM3227408v1			Milvago chimachima
GCA_035592155.1	ASM3559215v1			Milvus aegyptius
GCA_035592195.1	ASM3559219v1			Milvus lineatus
GCA_026770275.1	ASM2677027v1			Milvus milvus
GCA_013397495.1	ASM1339749v1	Annotation submitted by B10K Consortium	2020-07-10	Mionectes macconnelli
GCA_035041425.1	ASM3504142v1			Mionectes olivaceus
GCA_003546035.1	ASM354603v1			Mixornis gularis
GCA_013398855.1	ASM1339885v1	Annotation submitted by B10K Consortium	2020-07-10	Mohoua ochrocephala
GCA_037042795.1	BPBGC_Maene_1.0			Molothrus aeneus
GCF_012460135.2	BPBGC_Mater_1.1	GCF_012460135.2-RS_2023_03	2023-03-22	Molothrus ater
GCA_028565915.1	ASM2856591v1			Momotus momota
GCA_026261815.1	Monaracha_assembly_V1			Monarcha castaneiventris obscurior
GCA_017590115.1	ASM1759011v1			Montifringilla adamsi
GCA_026153235.1	ASM2615323v1			Morphnarchus princeps
GCA_031468815.1	bMorBas2.hap2			Morus bassanus
GCA_039877515.1	ASM3987751v1			Morus serrator
GCF_015832195.1	Motacilla_alba_V1.0_pri	NCBI Motacilla alba alba Annotation Release 100	2020-12-11	Motacilla alba alba
GCA_018904545.1	ASM1890454v1			Motacilla tschutschensis
GCA_026546585.1	ASM2654658v1			Muscicapa adusta
GCA_027123655.1	ASM2712365v1			Muscicapa comitata
GCA_030060385.1	ASM3006038v1			Muscicapa striata striata
GCA_035582795.1	USCA_MyAme_1.0	Annotation submitted by University of South Carolina Aiken	2024-01-12	Mycteria americana
GCA_013397015.1	ASM1339701v1	Annotation submitted by B10K Consortium	2020-07-10	Myiagra hebetior
GCA_035040975.1	ASM3504097v1			Myioborus melanocephalus
GCA_035222195.1	ASM3522219v1			Myioborus miniatus
GCA_031762455.1	ASM3176245v1			Myiopsitta luchsi
GCA_017639245.1	MMon_1.0			Myiopsitta monachus
GCA_035041235.1	ASM3504123v1			Myiothlypis chrysogaster
GCA_035041385.1	ASM3504138v1			Myiothlypis coronata
GCA_036023395.1	ASM3602339v1			Myiotriccus ornatus
GCF_022539395.1	myiCay2020	GCF_022539395.1-RS_2023_02	2023-02-26	Myiozetetes cayanensis
GCA_026770055.1	ASM2677005v1			Myrmophylax atrothorax
GCA_013400655.1	ASM1340065v1	Annotation submitted by B10K Consortium	2020-07-10	Mystacornis crossleyi
GCA_037953605.1	ASM3795360v1			Necrosyrtes monachus
GCA_013400695.1	ASM1340069v1	Annotation submitted by B10K Consortium	2020-07-10	Neodrepanis coruscans
GCA_033558235.1	BPBGC_Ngeo_1.0			Neomorphus geoffroyi
GCF_003984885.1	ASM398488v2	NCBI Neopelma chrysocephalum Annotation Release 100	2019-01-07	Neopelma chrysocephalum
GCA_013397415.1	ASM1339741v1	Annotation submitted by B10K Consortium	2020-07-10	Neopipo cinnamomea
GCF_033783945.1	CSIRO-AGI_Nbou_v1	GCF_033783945.1-RS_2023_12	2023-12-09	Neopsephotus bourkii
GCA_963082525.1	bNesMay2.1			Nesoenas mayeri
GCA_013398715.1	ASM1339871v1	Annotation submitted by B10K Consortium	2020-07-10	Nesospiza acunhae
GCF_000696875.1	ASM69687v1	NCBI Nestor notabilis Annotation Release 100	2014-10-29	Nestor notabilis
GCA_964035555.1	bNetRuf1.1			Netta rufina
GCA_011076525.1	BPBGC_Naur_1.0			Nettapus auritus
GCA_013400495.1	ASM1340049v1	Annotation submitted by B10K Consortium	2020-07-10	Nicator chloris
GCF_000708225.1	ASM70822v1	NCBI Nipponia nippon Annotation Release 100	2014-10-03	Nipponia nippon
GCA_026109245.1	ASM2610924v1			Nisaetus alboniger
GCA_027564675.1	ASM2756467v1			Nisaetus cirrhatus
GCA_027580135.1	ASM2758013v1			Nisaetus floris
GCA_012487455.1	Nnipalensis_1.0			Nisaetus nipalensis
GCA_013398735.1	ASM1339873v1	Annotation submitted by B10K Consortium	2020-07-10	Nothocercus julius
