Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_032766585.1	D.uni.mHiFi.1.0			Darevskia unisexualis
GCA_034642135.1	Dar_val_2.0			Darevskia valentini
GCA_023053685.1	rDiaPun1.0.p			Diadophis punctatus similis
GCF_023053635.1	rElgMul1.1.pri	GCF_023053635.1-RS_2024_02	2024-02-15	Elgaria multicarinata webbii
GCA_004319985.1	emyIji_1.0			Emydocephalus ijimae
GCA_031021105.1	rEryReg1.hap1			Erythrolamprus reginae
GCF_028583425.1	MPM_Emac_v1.0	GCF_028583425.1-RS_2023_03	2023-03-30	Eublepharis macularius
GCF_029931775.1	rEulEur1.hap1	GCF_029931775.1-RS_2023_06	2023-06-02	Euleptes europaea
GCA_030440675.1	ASM3044067v1			Furcifer pardalis
GCA_030847615.1	rGamWis1.0.hap2			Gambelia wislizenii
GCA_029375565.1	UGM_Ggeck_1			Gekko gecko
GCF_001447785.1	Gekko_japonicus_V1.1	NCBI Gekko japonicus Annotation Release 100	2016-01-12	Gekko japonicus
GCA_032468115.1	ASM3246811v1			Grayia smithii
GCA_026122225.1	Hcha_1			Heloderma charlesbogerti
GCF_027244095.1	rHemCap1.1.pri	GCF_027244095.1-RS_2023_02	2023-02-25	Hemicordylus capensis
GCF_032191835.1	APGP_CSIRO_Hbin_v1	GCF_032191835.1-RS_2023_10	2023-10-12	Heteronotia binoei
GCA_037043045.1	ASM3704304v1			Hydrophis curtus
GCA_019473425.1	HCya_v2			Hydrophis cyanocinctus
GCA_033807725.1	HELE_1.0			Hydrophis elegans
GCA_033807585.1	HMAJ_1.0			Hydrophis major
